WT_male_veh,WT_female_veh,WT_male_PEA,WT_female_PEA,Tg_male_veh,Tg_female_veh,Tg_male_PEA,Tg_female_PEA
2.29,1.04,1.49,1.55,1.08,1.5,1.24,2.14
1.24,3.32,1.49,2.38,1.3,1.48,2,2.23
1.12,2.28,1.34,2.11,1.04,2.2,1.46,1.51
1.38,2.59,1.14,2.07,1.22,2.51,1.52,1.52
1.38,3.06,1.41,2.38,1.32,2.08,1.28,1.18
2.35,3.27,1.43,2.5,1.04,2.35,3.24,3.7
1.41,1.56,1.57,3.24,1.27,3.16,2.12,4.16
2.19,1.56,1.44,3.33,1.04,2.24,3.04,3.49
1.28,1.47,1.44,3.15,1.29,2.33,1.55,3.13
1.52,1.49,1.47,3.02,1.25,2.58,1.39,3.25
1.9,2.14,1.52,3.32,1.56,2.27,1.17,3.38
2.23,3.22,1.37,2.24,2.12,2.33,1.44,2.17
1.36,2.04,1.38,3.08,1.09,1.37,1.56,4.09
2.29,3.02,1.11,1.52,1.31,2.44,1.05,3.3
1.31,3.16,1.6,1.56,1.11,2.14,1.19,3.05
1.6,3.37,2.05,2.28,1.42,2.14,1.12,3.34
1.08,1.6,1.28,1.8,2.32,1.45,2.29,1.42
1.6,2.23,1.57,3.01,1.8,3.16,1.8,1.56
2.06,2.16,2.32,3.54,2.28,2.33,2.14,2.09
1.53,1.49,1.48,NA,1.48,NA,1.25,2.15
