WT_male_veh,WT_female_veh,WT_male_PEA,WT_female_PEA,Tg_male_veh,Tg_female_veh,Tg_male_PEA,Tg_female_PEA
1.16,2.13,1.11,2.12,1.25,2.11,2.36,1.45
1.23,3.04,2.06,2.06,1.38,1.2,2.24,2.05
1.48,2.35,1.27,1.6,0.48,2.09,1.38,2.08
1.45,3.08,1.27,1.36,0.57,2.11,2.32,2.25
1.58,2.8,1.26,1.46,1.21,2.32,2.28,1.49
1.5,3.25,1.47,2.3,0.9,2,2.46,3.57
2.36,1.51,1.37,2.17,0.44,2.28,1.54,3.22
1.6,1.55,1.21,2.32,0.8,2.49,1.49,3.41
1.18,2.03,1.44,2.21,1.22,2.26,1.29,3.57
1.18,1.58,1.12,3.17,0.59,2.27,1.51,3.12
1.33,1.48,1.26,2.43,1.16,2.4,0.9,2.08
1.15,2.6,1.36,1.49,1.33,2.02,1.37,2.01
1.53,2.3,1.16,3.11,1.5,2.01,1.36,4.03
1.36,3.33,1.46,1.6,1.04,2.48,1.28,3.18
1.32,3.05,2.26,1.53,2.02,2.09,1.32,3.24
1.6,3.09,2.03,2.06,1.09,1.55,1.59,3.17
1.28,1.08,2.19,1.57,2.22,1.53,1.57,3.04
2.21,1.44,2.13,3.18,2.24,2.35,1.6,2.03
1.51,2.05,1.19,3.13,1.44,2.47,1.11,1.6
1.32,1.46,1.8,NA,1.37,NA,1.06,1.52
